2018_Sco_Scottish Borders_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Shetland Islands_Autumn Holidays,2018-10-15,2018-10-31,16
2018_Sco_Shetland Islands_Winter Holidays,2018-12-24,2019-01-08,15
2018_Sco_South Ayrshire_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_South Ayrshire_Autumn Holidays,2018-10-15,2018-10-23,8
2018_Sco_South Ayrshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_South Lanarkshire_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_South Lanarkshire_Autumn Holidays,2018-10-15,2018-10-20,5
2018_Sco_South Lanarkshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Stirling_Autumn Holidays,2018-10-15,2018-10-20,5
2018_Sco_Stirling_Winter Half Term Holidays,2018-11-29,2018-12-01,2
2018_Sco_Stirling_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_West Dunbartonshire_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_West Dunbartonshire_Autumn Holidays,2018-10-12,2018-10-20,8
2018_Sco_West Dunbartonshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_West Lothian_Autumn Half Term Holidays,2018-09-17,2018-09-19,2
2018_Sco_West Lothian_Autumn Holidays,2018-10-15,2018-10-23,8
2018_Sco_West Lothian_Winter Holidays,2018-12-24,2019-01-05,12
2019_Sco_Aberdeen City_May Holidays,2019-05-06,2019-05-08,2
2019_Sco_Aberdeen City_Spring Half Term Holidays,2019-02-11,2019-02-14,3
2019_Sco_Aberdeen City_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Aberdeen City_Summer Holidays,2019-07-08,2019-08-20,43
2019_Sco_Aberdeenshire_Spring Half Term Holidays,2019-02-11,2019-02-14,3
2019_Sco_Aberdeenshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Aberdeenshire_Summer Holidays,2019-07-08,2019-08-20,43
2019_Sco_Angus_Spring Half Term Holidays,2019-02-21,2019-02-26,5
2019_Sco_Angus_Spring Holidays,2019-04-08,2019-04-23,15
2019_Sco_Angus_Summer Holidays,2019-07-01,2019-08-14,44
2019_Sco_Argyll and Bute_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_Argyll and Bute_Spring Half Term Holidays,2019-02-11,2019-02-16,5
2019_Sco_Argyll and Bute_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Argyll and Bute_Summer Holidays,2019-07-01,2019-08-15,45
2019_Sco_Clackmannanshire_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_Clackmannanshire_Spring Half Term Holidays,2019-02-11,2019-02-16,5
2019_Sco_Clackmannanshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Clackmannanshire_Summer Holidays,2019-07-01,2019-08-20,50
2019_Sco_Comhairle nan Eilean Star_Spring Half Term Holidays,2019-02-06,2019-02-12,6
2019_Sco_Comhairle nan Eilean Star_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Comhairle nan Eilean Star_Summer Holidays,2019-07-01,2019-08-15,45
2019_Sco_Dumfries and Galloway_Spring Half Term Holidays,2019-02-21,2019-02-23,2
2019_Sco_Dumfries and Galloway_Spring Holidays,2019-04-08,2019-04-23,15
2019_Sco_Dumfries and Galloway_Summer Holidays,2019-07-01,2019-08-21,51
2019_Sco_Dundee City_Spring Half Term Holidays,2019-02-15,2019-02-20,5
2019_Sco_Dundee City_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Dundee City_Summer Holidays,2019-07-01,2019-08-13,43
2019_Sco_East Ayrshire_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_East Ayrshire_Spring Half Term Holidays,2019-02-11,2019-02-16,5
2019_Sco_East Ayrshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_East Ayrshire_Summer Holidays,2019-07-01,2019-08-17,47
2019_Sco_East Dunbartonshire_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_East Dunbartonshire_Spring Half Term Holidays,2019-02-11,2019-02-14,3
2019_Sco_East Dunbartonshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_East Dunbartonshire_Summer Half Term Holidays,2019-05-23,2019-05-28,5
2019_Sco_East Dunbartonshire_Summer Holidays,2019-06-28,2019-08-15,48
2019_Sco_East Lothian_Spring Half Term Holidays,2019-02-11,2019-02-19,8
2019_Sco_East Lothian_Spring Holidays,2019-04-08,2019-04-23,15
2019_Sco_East Lothian_Summer Holidays,2019-07-01,2019-08-14,44
2019_Sco_East Renfrewshire_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_East Renfrewshire_May Holidays,2019-05-06,2019-05-08,2
2019_Sco_East Renfrewshire_Spring Half Term Holidays,2019-02-08,2019-02-13,5
2019_Sco_East Renfrewshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_East Renfrewshire_Summer Holidays,2019-06-28,2019-08-19,52
2019_Sco_Edinburgh City_May Holidays,2019-05-06,2019-05-08,2
2019_Sco_Edinburgh City_Spring Half Term Holidays,2019-02-11,2019-02-16,5
2019_Sco_Edinburgh City_Spring Holidays,2019-04-08,2019-04-23,15
2019_Sco_Edinburgh City_Summer Holidays,2019-07-01,2019-08-14,44
